D0 Brightness -SAP,shift1,shift2,shift3,shift4,shift5,shift6,shift7,shift8,shift9,shift10,shift11,shift12,shift13,shift14,shift15
73.5,48.7,48.7,48.7,48.7,48.7,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.3,46.3
75,48.7,48.7,48.7,48.7,48.7,48.7,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.3
77.4,48.7,48.7,48.7,48.7,48.7,48.7,48.7,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5
76.8,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,46.5,46.5,46.5,46.5,46.5,46.5,46.5
73.5,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,46.5,46.5,46.5,46.5,46.5,46.5
74,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,46.5,46.5,46.5,46.5,46.5
73.8,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,46.5,46.5,46.5,46.5
74.1,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,46.5,46.5,46.5
72.5,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,46.5,46.5
72.8,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,46.5
75.4,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7
75.5,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7
73.9,45.1,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7
73.3,45.1,45.1,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7
73.9,45.1,45.1,45.1,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7
73,45.1,45.1,45.1,45.1,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7
72.9,45.1,45.1,45.1,45.1,45.1,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7
74.9,45.1,45.1,45.1,45.1,45.1,45.1,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7
72.8,45.1,45.1,45.1,45.1,45.1,45.1,45.1,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7
73.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,48.7,48.7,48.7,48.7,48.7,48.7,48.7
71.5,48.7,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,48.7,48.7,48.7,48.7,48.7,48.7
73,48.7,48.7,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,48.7,48.7,48.7,48.7,48.7
71.4,48.7,48.7,48.7,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,48.7,48.7,48.7,48.7
70.1,48.7,48.7,48.7,48.7,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,48.7,48.7,48.7
71.3,48.7,48.7,48.7,48.7,48.7,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,48.7,48.7
70.1,48.7,48.7,48.7,48.7,48.7,48.7,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,48.7
71.8,48.7,48.7,48.7,48.7,48.7,48.7,48.7,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1
